,Date,Value
4018,2018-03-07,214.04
4019,2018-03-08,220.89
4020,2018-03-09,211.6
4021,2018-03-10,177.11
4022,2018-03-11,174.01
4023,2018-03-12,198.19
4024,2018-03-13,191.48
4025,2018-03-14,194.13
4026,2018-03-15,191.23
4027,2018-03-16,191.22
4028,2018-03-17,261.07
4029,2018-03-18,289.88
4030,2018-03-19,273.25
4031,2018-03-20,241.57
4032,2018-03-21,219.69
4033,2018-03-22,199.87
4034,2018-03-23,186.15
4035,2018-03-24,175.0
4036,2018-03-25,164.01
4037,2018-03-26,175.88
4038,2018-03-27,186.23
4039,2018-03-28,198.65
4040,2018-03-29,205.67
4041,2018-03-30,202.12
4042,2018-03-31,204.09
4043,2018-04-01,197.24
4044,2018-04-02,202.91
4045,2018-04-03,172.87
4046,2018-04-04,180.63
4047,2018-04-05,172.28
4048,2018-04-06,160.41
4049,2018-04-07,146.18
4050,2018-04-08,146.19
4051,2018-04-09,163.05
4052,2018-04-10,172.81
4053,2018-04-11,178.14
4054,2018-04-12,183.6
4055,2018-04-13,177.1
4056,2018-04-14,123.74
4057,2018-04-15,131.51
4058,2018-04-16,131.77
4059,2018-04-17,129.12
4060,2018-04-18,91.63
4061,2018-04-19,77.19
4062,2018-04-20,75.97
4063,2018-04-21,69.26
4064,2018-04-22,74.6
4065,2018-04-23,99.48
4066,2018-04-24,119.33
4067,2018-04-25,121.15
4068,2018-04-26,124.29
4069,2018-04-27,146.88
4070,2018-04-28,146.84
4071,2018-04-29,160.58
4072,2018-04-30,175.2
4073,2018-05-01,146.65
4074,2018-05-02,143.83
4075,2018-05-03,122.57
4076,2018-05-04,98.85
4077,2018-05-05,73.59
4078,2018-05-06,64.77
4079,2018-05-07,62.57
4080,2018-05-08,68.47
4081,2018-05-09,78.76
4082,2018-05-10,83.44
4083,2018-05-11,92.24
4084,2018-05-12,85.2
4085,2018-05-13,78.98
4086,2018-05-14,80.05
4087,2018-05-15,74.96
4088,2018-05-16,87.61
4089,2018-05-17,87.5
4090,2018-05-18,83.77
4091,2018-05-19,66.03
4092,2018-05-20,64.97
4093,2018-05-21,66.47
4094,2018-05-22,69.91
4095,2018-05-23,75.84
4096,2018-05-24,76.74
4097,2018-05-25,78.87
4098,2018-05-26,62.66
4099,2018-05-27,55.91
4100,2018-05-28,55.87
4101,2018-05-29,65.95
4102,2018-05-30,71.09
4103,2018-05-31,65.65
4104,2018-06-01,60.81
4105,2018-06-02,54.15
4106,2018-06-03,54.59
4107,2018-06-04,66.54
4108,2018-06-05,69.51
4109,2018-06-06,69.48
4110,2018-06-07,66.76
4111,2018-06-08,66.01
4112,2018-06-09,57.74
4113,2018-06-10,57.6
4114,2018-06-11,61.88
4115,2018-06-12,65.83
4116,2018-06-13,66.33
4117,2018-06-14,65.43
4118,2018-06-15,66.3
4119,2018-06-16,60.4
4120,2018-06-17,62.63
4121,2018-06-18,63.29
4122,2018-06-19,63.73
4123,2018-06-20,65.49
4124,2018-06-21,66.65
4125,2018-06-22,64.08
4126,2018-06-23,57.53
4127,2018-06-24,55.18
4128,2018-06-25,57.25
4129,2018-06-26,57.06
4130,2018-06-27,56.48
4131,2018-06-28,56.44
4132,2018-06-29,54.53
4133,2018-06-30,49.04
4134,2018-07-01,48.49
4135,2018-07-02,52.75
4136,2018-07-03,55.67
4137,2018-07-04,55.75
4138,2018-07-05,55.15
4139,2018-07-06,54.26
4140,2018-07-07,47.33
4141,2018-07-08,47.48
4142,2018-07-09,54.03
4143,2018-07-10,56.19
4144,2018-07-11,55.9
4145,2018-07-12,57.47
4146,2018-07-13,55.73
4147,2018-07-14,47.92
4148,2018-07-15,47.42
4149,2018-07-16,53.53
4150,2018-07-17,55.13
4151,2018-07-18,55.61
4152,2018-07-19,53.98
4153,2018-07-20,53.89
4154,2018-07-21,49.66
4155,2018-07-22,48.33
4156,2018-07-23,50.67
4157,2018-07-24,51.22
4158,2018-07-25,50.83
4159,2018-07-26,49.8
4160,2018-07-27,46.95
4161,2018-07-28,46.56
4162,2018-07-29,49.6
4163,2018-07-30,52.37
4164,2018-07-31,53.54
4165,2018-08-01,53.42
4166,2018-08-02,50.87
4167,2018-08-03,46.66
4168,2018-08-04,44.89
4169,2018-08-05,44.48
4170,2018-08-06,49.21
4171,2018-08-07,51.51
4172,2018-08-08,52.25
4173,2018-08-09,56.01
4174,2018-08-10,58.34
4175,2018-08-11,52.2
4176,2018-08-12,52.79
4177,2018-08-13,60.34
4178,2018-08-14,57.85
4179,2018-08-15,56.55
4180,2018-08-16,58.63
4181,2018-08-17,60.43
4182,2018-08-18,52.94
4183,2018-08-19,52.92
4184,2018-08-20,59.1
4185,2018-08-21,56.74
4186,2018-08-22,57.19
4187,2018-08-23,61.4
4188,2018-08-24,66.45
4189,2018-08-25,62.73
4190,2018-08-26,72.42
4191,2018-08-27,68.4
4192,2018-08-28,68.96
4193,2018-08-29,70.74
4194,2018-08-30,72.11
4195,2018-08-31,66.46
4196,2018-09-01,56.51
4197,2018-09-02,54.77
4198,2018-09-03,64.94
4199,2018-09-04,69.03
4200,2018-09-05,68.64
4201,2018-09-06,72.85
4202,2018-09-07,75.23
4203,2018-09-08,70.82
4204,2018-09-09,66.18
4205,2018-09-10,73.21
4206,2018-09-11,71.84
4207,2018-09-12,77.86
4208,2018-09-13,80.18
4210,2018-09-14,79.02
4211,2018-09-15,71.15
4212,2018-09-16,68.07
4213,2018-09-17,68.18
4214,2018-09-18,65.5
4215,2018-09-19,70.12
4216,2018-09-20,80.14
4217,2018-09-21,89.6
4218,2018-09-22,99.29
4219,2018-09-23,104.15
